,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Fth1,2165877.017,0.014666216,0.092193144,0.159081422,0.873604725,0.942786679
2,Gpnmb,826088.232,0.721959522,0.124813923,5.784286741,7.28E-09,7.89E-08
3,Saa3,793770.8771,0.112962407,0.149327226,0.75647563,0.449364079,0.658172856
4,Psap,754692.0593,0.608290157,0.062537566,9.726796104,2.32E-22,6.54E-21
5,Ctsb,744866.3375,0.147215306,0.062193147,2.367066376,0.017929717,0.057352656
6,Lyz2,718633.312,-0.345442032,0.05926027,-5.829234889,5.57E-09,6.10E-08
7,mt-Co1,463172.7315,-0.089990727,0.361374444,-0.249023495,0.803342607,0.904670237
8,Ctsd,430374.2882,0.323864815,0.117462544,2.75717522,0.00583031,0.022030656
9,Acod1,334889.5373,0.117659711,0.088527008,1.329082666,0.183820698,0.363312517
10,Mpeg1,300515.799,0.297354576,0.047224427,6.296626417,3.04E-10,3.76E-09
11,H2-D1,291392.0517,0.166345492,0.120235542,1.383496829,0.166512579,0.33839035
12,Ccl5,273289.4198,-0.270839214,0.111943457,-2.419428712,0.015544907,0.050777765
13,Ftl1,266562.4844,0.503760964,0.162043562,3.108799619,0.001878491,0.00818013
14,Ctss,260397.4568,0.158461434,0.08979031,1.764794383,0.077598329,0.189327448
15,B2m,239739.9269,-0.325746525,0.215285901,-1.513088055,0.130257293,0.282313754
16,Cybb,225940.3907,0.533603453,0.039538222,13.4958891,1.65E-41,1.03E-39
17,Ctsz,222275.9252,0.456658575,0.067577108,6.757592782,1.40E-11,1.98E-10
18,Eef1a1,207875.2262,0.353850241,0.035428021,9.987863735,1.72E-23,5.17E-22
19,Tnfrsf1b,207380.7618,0.355609596,0.042406605,8.385712411,5.04E-17,1.07E-15
20,Adgre1,199922.7191,-0.526647396,0.109259032,-4.820172621,1.43E-06,1.15E-05
21,Rnf213,186443.0875,-0.339067573,0.068311634,-4.963540651,6.92E-07,5.79E-06
