Geneid,Sample1,Sample2,Sample3,Sample4,Sample11,Sample12,Sample13,Sample14,Sample22,Sample6,Sample7,Sample10,Sample19,Sample20,Sample21
Xkr4,77,41,47,76,56,54,44,74,46,69,20,50,34,28,50
Rp1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Sox17,170,116,123,94,108,112,93,121,165,122,169,239,180,269,174
Mrpl15,1789,1779,2563,1831,1518,1957,1744,1957,1356,1711,1606,1715,1117,1036,1302
Lypla1,5707,5235.5,6716.5,4970.5,4246.5,5405,5064.5,5561.5,4116.5,5243,4362,5272.5,3673,3897,4276
Tcea1,4907.67,4347.17,5324.33,4220,3634.83,4130.5,3660,4681.67,3187.33,3894.33,3403.67,4621.83,2524.83,2824.5,3152
Rgs20,9,2,8,8,6,8,2,7,12,4,6,3,10,7,0
Atp6v1h,2741,2570,3383,2657,2078.5,2502,1969,2981,2049,2666,1997,2881,1652,1880,2028
Oprk1,57,37,45,52,29,44,19,86,49,74,47,9,58,29,65
Npbwr1,8,0,10,5,6,2,0,0,0,2,0,1,0,0,0
Rb1cc1,3651.5,3028,3167,3065,2820,2865,2508,3045,2267,3001,2186,3033,1834,2522,2097
Fam150a,8.5,3,4,2,9,4,3,4,40,15,10,56,13,20.5,7
St18,139,149,137,133,97,88,88,169,82,117,80,86,90,109,106
Pcmtd1,4155,3303.5,4194,3256,3304,3510,2835,3481,2699,3211,2517,3385,2630.5,3266,2846
Sntg1,4,6,4,15,11,5,7,13,19,6,5,3,9,15,16
Rrs1,1138,1298,1779,1290,912,1278,1187.5,1350,1139,1375,1350.5,1731,796,881,1059
Adhfe1,126,83,163.5,63,270.5,133.5,175.5,181,81.5,95.5,86.5,121,65,107,77.5
2610203C22Rik,27,35.5,32.5,20,43.5,25.5,38,28.5,15.5,18,17.5,29,19,20,19.5
3110035E14Rik,6,5.5,7,5,10,8,3,2.5,1,6.5,3,3,6,13,5
Mybl1,95,83,94,82,82,83,67,75,78,57,66,131,40,29,70
Vcpip1,1753,1727.5,2156.5,1834.5,1469,1624.5,1457.5,1945,1254,1643.5,1234.5,2012,950,1142.5,1143.5
1700034P13Rik,125,116.5,133.5,132.5,103,135.5,113.5,142,81,98.5,54.5,128,69,66.5,79.5
Sgk3,395,394,380,397,316,305,238,436,349,408,325,577,257,365,307
Mcmdc2,0,2,2,1,4,1,1,1,5,0,5,4,0,1,9
Snhg6,613,387.5,564,302,404.5,435,267.5,408.5,409.5,496.5,515.5,424.5,283.5,265,332.5
Snord87,2,6.5,8,6,1.5,2,3.5,6.5,3.5,7.5,15.5,2.5,4.5,1,4.5
Ppp1r42,0,1,0,0,0,1,2,1,6,1,0,0,2,1,0
Cops5,3015,2568,3406,2540,2265,2483,2241,2700,2117,2726,2229,2966,1625,1946,2237
Cspp1,906,874,969,912,692,776,715,975,626,737,813,925,507,587,675
Arfgef1,10476,8916,10506,9461,7693,9253,8365,10851,6296,8723,6809,9366,5283,6334,6624
Cpa6,42,34,36,22,48,46,46,56,47,64,30,73,53,77,32
Mir467e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prex2,553,448.11,463.1,695,564.27,529.17,566.1,677,629.11,422.18,332,990,385,783,447
A830018L16Rik,12,11,17,2,13,12,8,20,24,20,10,3,27,8,9
Gm17644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulf1,639,521,742,699,566,534,402,593,1209,1247,898,1563,556,1482,738.5
Slco5a1,58,27,54,38,34,34,15,24,45,55,53,57,21,55,48
Prdm14,69,58,85,60,27,54,15,49,23,30,20,27,13,34,36
Ncoa2,2998,2633,2670,2660,2174,2470,2273,2600,1845.5,2230,1571,2652,1490,1926,1839
Tram1,5225,4613,6172,4564,3906,4449,4024,5166,3923.5,5517,4501,4933,3290,3294,4191
